,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,0.0,0.0,0.0,50.0,33.33333333333333,0.5376315116882324,0.111175537109375,21.0,0.0765095658443145
2-3,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.5062907139460245,0.5303802490234375,23.288888888888888,0.0757146903212493
2-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4653807580471039,0.5042597452799479,23.35,0.0761304588701329
2-7,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.4727002024650574,0.5776763916015625,24.19333333333333,0.0763986031885053
2-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676665465037028,0.4290542602539062,24.41111111111111,0.0765064235771363
2-11,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.5953196088473002,0.99176025390625,21.622222222222224,0.0778736869357192
2-13,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.4126209616661072,0.6214243570963541,23.08888888888889,0.0770524922245276
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3591898381710052,0.6245142618815104,22.455555555555552,0.0766527926487179
3-1,16.666666666666664,0.0,0.0,0.0,0.0,66.66666666666666,16.666666666666664,0.2622167766094208,2.1216301918029785,22.1,0.0765478868311433
3-3,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.1940626889467239,0.5374031871557235,22.106666666666666,0.0773147887575166
3-5,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.3423773437738419,0.6490539520978927,22.85333333333333,0.0779869015666021
3-7,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.27850142121315,0.9151751279830932,21.7,0.0778904839755003
3-9,0.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,50.0,,,,0.0774474095786137
3-11,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.3169162919123967,0.5332615375518799,23.83333333333333,0.0772592397982964
3-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2411384582519531,0.4438506485894322,26.022222222222226,0.0775436563485476
3-15,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.1520792931318283,0.1713077925145626,24.87333333333333,0.0775063275488137
Avg,65.625,2.083333333333333,3.1249999999999996,0.0,4.166666666666666,9.374999999999998,15.624999999999995,0.3736061610115899,0.6507951662565271,23.12659259259259,0.07702096300095855
