,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,33.33333333333333,0.0,16.666666666666664,33.33333333333333,0.0,0.3832937479019165,0.3630218505859375,26.8,0.07663077261389756
2-3,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.30445903837680816,0.2579315185546875,22.886666666666667,0.07655521921953254
2-5,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.3774289886156718,0.6076914469401041,23.98888888888889,0.07710956840734794
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517620414495468,0.28368377685546875,23.061111111111114,0.07689114714568517
2-9,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.46166465282440183,0.33818359375,22.3,0.07681569374455942
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4097932328780492,0.46383412679036456,22.811111111111114,0.0781226176328099
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35430241127808887,0.9879633585611979,22.122222222222224,0.07717014506036175
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34477243820826214,1.0927225748697917,23.205555555555552,0.07675488539849327
3-1,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,16.666666666666664,0.29034075140953064,1.0190049409866333,23.333333333333332,0.07677394539541331
3-3,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.24005470797419548,0.45149730052798986,24.283333333333335,0.07718290312498083
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32772831122080487,0.2106171017512679,23.55,0.07808208852962342
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3435765504837036,0.7073043708999952,21.355555555555554,0.0778682650693881
3-9,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.2637921944260597,0.9843562468886375,23.241666666666667,0.07747939268636737
3-11,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.23967940360307693,0.36082306364551187,23.775,0.07696083721892621
3-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.18667826503515245,0.30707396790385244,25.693333333333335,0.07690823218769359
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1761604572335879,0.33944649000962573,24.505555555555556,0.07677762979155134
Avg,77.08333333333333,0.0,7.291666666666666,1.0416666666666665,4.166666666666666,4.166666666666666,6.25,0.3159679495574286,0.5484472330950666,23.557083333333335,0.07713020895166448
